## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_13-51-54 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
2596;2861;3102;3327
3546;3785;3968;4066
4093;4034;3896;3701
3410;3111;2777;2429
2043;1682;1325;989
678;426;208;64
2;23;125;302
565;857;1171;1521
1901;2275;2544;2812
3080;3309;3546;3785
3974;4075;4091;4021
3865;3641;3355;3049
2702;2341;1973;1611
1242;916;626;390
179;48;0;30
143;333;585;897
1230;1582;1945;2310
