## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-01-22_14-03-49 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch1;ch2;ch3;ch4
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
1792;2158;2435;2720
3014;3284;3524;3778
3967;4070;4093;4032
3880;3656;3387;3092
2743;2391;2020;1659
1301;971;675;423
202;61;2;22
126;302;552;840
1165;1512;1879;2241
2533;2794;3040;3284
3524;3778;3961;4063
4094;4037;3902;3691
3406;3108;2773;2425
2037;1677;1326;1003
697;444;236;91
9;11;93;255
496;769;1076;1416
